,Product_Brand,Product_Gender,Shoe_Name,Item_ID,Price,Link
135,ADIDAS,Girls',                                                            adidas                                                        FortaRun 3.0 EL C                            Girls                                                    , ih3303,69.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/grls-fortarun-30-el-c-sneaker--greypurplegrey/ih3303
136,BIRKENSTOCK,Girls',                                                            Birkenstock                                                        Gizeh                            Girls                                                    , 1026953,79.99,https://www.softmoc.com/ca/i/birkenstock/girls/sandals/grls-gizeh-birkoflor-narrow-sandal--shiny-rose/1026953
138,BIRKENSTOCK,Unisex,                                                            Birkenstock                                                        Arizona EVA                            Unisex                                                    , 1026743,44.99,https://www.softmoc.com/ca/i/birkenstock/unisex/sandals/kds-arizona-eva-narrow-sandal--elemental-blue/1026743
140,CONVERSE,Baby and Toddlers,                                                            Converse                                                        Chuck Taylor All Star Rave                            Baby and Toddlers                                                    , a07353c,44.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infg-chuck-taylor-all-star-rave-sneaker--soft-peachgrape-fizzwhite/a07353c
141,SKECHERS,Girls',                                                            Skechers                                                        Microspec Plus                            Girls                                                    , 303607l-nvbl,49.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-microspec-plus-sneaker--navyblack/303607lnvbl
142,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Skech Tracks                            Baby and Toddlers                                                    , 402303n-ccyl,54.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infb-skech-tracks-sneaker--charcoalyellow/402303nccyl
144,CONVERSE,Girls',                                                            Converse                                                        Chuck Taylor All Star Move                            Girls                                                    , a08745c,69.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-move-hi-top-platform-sneaker--static-pinkwhiteblack/a08745c
145,CONVERSE,Girls',                                                            Converse                                                        Chuck Taylor All Star Hyper Brights                            Girls                                                    , a08748c,54.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-hyper-brights-hi-top-sneaker--triple-cyanchaos-fushiaslime-light/a08748c
146,SKECHERS,Boys',                                                            Skechers                                                        Microspec Max II                            Boys                                                    , 403932l-nvbl,59.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-microspec-max-ii-sneaker--navyblack/403932lnvbl
148,CROCS,Baby and Toddlers,                                                            Crocs                                                        Classic Sandal                            Baby and Toddlers                                                    , 209421-001,29.99,https://www.softmoc.com/ca/i/crocs/baby-and-toddlers/sandals/kds-classic-slide-sandal--black/209421001
150,SKECHERS,Girls',                                                            Skechers                                                        Microspec Max Plus - Echo Sprint                            Girls                                                    , 303612l-nvaq,59.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-microspec-max-plus--echo-sprint-sneaker--navyaqua/303612lnvaq
153,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        S Lights Wavy Beams                            Baby and Toddlers                                                    , 302338n-nvmt,62.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-s-lights-wavy-beams-sneaker--navymulti/302338nnvmt
154,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Skechers Meteor-Lights                            Baby and Toddlers                                                    , 401495n-nvor,54.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infb-meteorlights-sneaker--navyorange/401495nnvor
155,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Heart Lights                            Baby and Toddlers                                                    , 302693n-lvlp,57.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-heart-light-up-sneaker--lavenderlight-pink/302693nlvlp
156,ADIDAS,Unisex,                                                            adidas                                                        Hoops 3.0 K                            Unisex                                                    , ig3828,79.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-hoops-30-k-sneaker--whiteblackorange/ig3828
157,ADIDAS,Baby and Toddlers,                                                            adidas                                                        Grand Court 2.0 CF I                            Baby and Toddlers                                                    , id5271,54.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/infs-grand-court-20-cf-i-sneaker--whiteblack/id5271
158,ADIDAS,Baby and Toddlers,                                                            adidas                                                        Grand Court 2.0 CF                            Baby and Toddlers                                                    , id5265,54.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/infs-grand-court-20-cf-i-sneaker--whitegrey/id5265
160,ADIDAS,Unisex,                                                            adidas                                                        Hoops Mid 3.0 K                            Unisex                                                    , ig3715,84.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-hoops-mid-30-k-sneaker--whiteblack/ig3715
161,ADIDAS,Girls',                                                            adidas                                                        Kaptir 3.0 K                            Girls                                                    , id5848,84.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/grls-kaptir-30-k-sneaker--greypinkviolet/id5848
162,ADIDAS,Girls',                                                            adidas                                                        FortaRun 2.0 El K                            Girls                                                    , ie3395,69.99,https://www.softmoc.com/ca/i/adidas/girls/sneakers-and-athletic/kds-fortarun-20-el-k-sneaker--whiteblackgreen/ie3395
163,ADIDAS,Unisex,                                                            adidas                                                        FortaRun 2.0 El K                            Unisex                                                    , hp5452,69.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-fortarun-20-el-k-sneaker--bluewhite/hp5452
164,ADIDAS,Unisex,                                                            adidas                                                        Kaptir 3.0 K                            Unisex                                                    , ig2484,84.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-kaptir-30-k-sneaker--blackred/ig2484
165,ADIDAS,Baby and Toddlers,                                                            adidas                                                        FortaRun 2.0 AC I                            Baby and Toddlers                                                    , ig4872,64.99,https://www.softmoc.com/ca/i/adidas/baby-and-toddlers/sneakers-and-athletic/inf-fortarun-20-ac-i-sneaker--bluewhite/ig4872
167,VANS,Unisex,                                                            Vans                                                        Ward Flame                            Unisex                                                    , vn000cp0bzw,59.99,https://www.softmoc.com/ca/i/vans/unisex/sneakers-and-athletic/kds-ward-flame-sneaker--blackwhite/vn000cp0bzw
168,PUMA,Girls',                                                            Puma                                                        Carina 2.0 Tropical Ps                            Girls                                                    , 395575-01,74.99,https://www.softmoc.com/ca/i/puma/girls/sneakers-and-athletic/grls-carina-20-tropical-ps-sneaker--whiteturquoisegrape/39557501
169,PUMA,Girls',                                                            Puma                                                        Carina 2.0 Tropical Jr                            Girls                                                    , 395574-01,79.99,https://www.softmoc.com/ca/i/puma/girls/sneakers-and-athletic/grls-carina-20-tropical-jr-sneaker--whiteturquoisegrape/39557401
170,VANS,Unisex,                                                            Vans                                                        Ward                            Unisex                                                    , vn0a3tfwpib,59.99,https://www.softmoc.com/ca/i/vans/unisex/sneakers-and-athletic/kds-ward-glow-sneaker--neon-pinkblack/vn0a3tfwpib
171,SKECHERS,Boys',                                                            Skechers                                                        Skech Tracks                            Boys                                                    , 402303l-bkrd,62.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-skech-tracks-sneaker--blackred/402303lbkrd
172,SKECHERS,Girls',                                                            Skechers                                                        Infinite Heart Lights                            Girls                                                    , 303753l-lvmt,74.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-infinite-heart-lights-light-up-sneaker--lavendermulti/303753llvmt
174,SKECHERS,Boys',                                                            Skechers                                                        Ultra Flex 3.0                            Boys                                                    , 402183l-bblm,62.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-ultra-flex-30-slip-on-sneaker--blackbluelime/402183lbblm
175,SKECHERS,Girls',                                                            Skechers                                                        Uno Gen1 - Shimmer Away                            Girls                                                    , 310545l-blk,77.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-uno-gen1-shimmer-away-sneaker--black/310545lblk
176,SKECHERS,Boys',                                                            Skechers                                                        Turbo Tread                            Boys                                                    , 403836l-nvor,69.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-turbo-tread-slipins--sneaker--navyorange/403836lnvor
177,SKECHERS,Girls',                                                            Skechers                                                        Uno Gen1 Neon Glow                            Girls                                                    , 310525l-htpk,77.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-uno-gen1-neon-glow-sneaker--hot-pink/310525lhtpk
178,SKECHERS,Boys',                                                            Skechers                                                        Thermo-Flash 2.0                            Boys                                                    , 400099l-bkrd,69.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-thermoflash-20-sneaker--blackred/400099lbkrd
179,SKECHERS,Boys',                                                            Skechers                                                        Light Storm 3.0                            Boys                                                    , 400151l-nvrd,77.99,https://www.softmoc.com/ca/i/skechers/boys/sneakers-and-athletic/bys-light-storm-30-sneaker--navyred/400151lnvrd
181,PUMA,Baby and Toddlers,                                                            Puma                                                        Anzarun 2.0 AC+ Inf                            Baby and Toddlers                                                    , 390843-12,59.99,https://www.softmoc.com/ca/i/puma/baby-and-toddlers/sneakers-and-athletic/infs-anzarun-20-ac-sneaker---silvergrapeberry/39084312
184,SKECHERS,Girls',                                                            Skechers                                                        Unicorn Dreams                            Girls                                                    , 302299l-lvhp,69.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-unicorn-dreams-sneaker--lavenderhot-pink/302299llvhp
186,SKECHERS,Girls',                                                            Skechers                                                        S Lights Wavy Beams                            Girls                                                    , 302338l-bkmt,69.99,https://www.softmoc.com/ca/i/skechers/girls/sneakers-and-athletic/grls-s-lights-wavy-beams-sneaker--blackmulti/302338lbkmt
187,ADIDAS,Unisex,                                                            adidas                                                        Grand Court Man K                            Unisex                                                    , id8025,74.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-grand-court-man-k-sneaker--whiteblackblue/id8025
188,ADIDAS,Unisex,                                                            adidas                                                        Marvel Spidey Racer EL K                            Unisex                                                    , id5236,89.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-marvel-spidey-racer-el-k-sneaker--blackred/id5236
190,VANS,Unisex,                                                            Vans                                                        Asher                            Unisex                                                    , vn0a45jrmcg,54.99,https://www.softmoc.com/ca/i/vans/unisex/sneakers-and-athletic/kds-asher-flame-sneaker--blackwhite/vn0a45jrmcg
191,ADIDAS,Unisex,                                                            adidas                                                        Marvel Cap Racer EL K                            Unisex                                                    , if3409,89.99,https://www.softmoc.com/ca/i/adidas/unisex/sneakers-and-athletic/kds-marvel-cap-racer-el-k-sneaker--bluewhite/if3409
193,REEBOK,Unisex,                                                            Reebok                                                        Club C Double                            Unisex                                                    , 100008154,74.99,https://www.softmoc.com/ca/i/reebok/unisex/sneakers-and-athletic/kds-club-c-double-lace-up-sneaker--whitewhite/100008154
194,PUMA,Girls',                                                            Puma                                                        Softride Enzo NXT Jr                            Girls                                                    , 195569-28,79.99,https://www.softmoc.com/ca/i/puma/girls/sneakers-and-athletic/grls-softride-enzo-nxt-jr-sneaker--violetgrape/19556928
195,CONVERSE,Girls',                                                            Converse                                                        Chuck Taylor All Star Eva Lift                            Girls                                                    , a09811c,64.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-eva-lift-hi-top-platform-sneaker--thunder-daze/a09811c
196,REEBOK,Baby and Toddlers,                                                            Reebok                                                        Club C 2V 2.0                            Baby and Toddlers                                                    , 100075006,69.99,https://www.softmoc.com/ca/i/reebok/baby-and-toddlers/sneakers-and-athletic/infs-club-c-2v-20-sneaker--black/100075006
197,REEBOK,Unisex,                                                            Reebok                                                        Club C                            Unisex                                                    , 100000199,79.99,https://www.softmoc.com/ca/i/reebok/unisex/sneakers-and-athletic/kds-club-c-lace-up-sneaker--white/100000199
199,REEBOK,Girls',                                                            Reebok                                                        Rush Runner 5                            Girls                                                    , 100075233,57.99,https://www.softmoc.com/ca/i/reebok/girls/sneakers-and-athletic/grls-rush-runner-5-lace-up-sneaker--whitepinkblue/100075233
200,REEBOK,Unisex,                                                            Reebok                                                        Rush Runner 5                            Unisex                                                    , 100074566,57.99,https://www.softmoc.com/ca/i/reebok/unisex/sneakers-and-athletic/kds-rush-runner-5-lace-up-sneaker--blackbluepewter/100074566
204,CONVERSE,Baby and Toddlers,                                                            Converse                                                        Chuck Taylor All Star 2V Cars                            Baby and Toddlers                                                    , a05223c,44.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infb-chuck-taylor-all-star-2v-cars-sneaker--blackblackwhite/a05223c
205,CONVERSE,Girls',                                                            Converse                                                        Chuck Taylor All Star Eva Lift -BEMY2K                            Girls                                                    , a09121c,69.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-eva-lift-bemy2k-hi-top-sneaker--blackwhite/a09121c
206,CONVERSE,Boys',                                                            Converse                                                        Chuck Taylor All Star 1V Sticker Stash                            Boys                                                    , a06356c,54.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-1v-sticker-stash-hi-top-sneaker--blackfever-dreamblue/a06356c
207,CONVERSE,Baby and Toddlers,                                                            Converse                                                        Chuck Taylor All Star 2V - Polka-Doodle                            Baby and Toddlers                                                    , a06320c,44.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infsg-chuck-taylor-all-star-2v-polka-doodle-sneaker--blackwhiteblue/a06320c
208,CONVERSE,Baby and Toddlers,                                                            Converse                                                        Chuck Taylor All Star Cribster                            Baby and Toddlers                                                    , a06353c,34.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/inf-chuck-taylor-all-star-cribster-polka-doodle-sneaker--whitefever-dreamwhite/a06353c
209,CONVERSE,Boys',                                                            Converse                                                        Chuck Taylor All Star Axel Mid                            Boys                                                    , a06372c,54.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-axel-mid-sneaker--redblackwhite/a06372c
210,CONVERSE,Boys',                                                            Converse                                                        CTAS Malden Street Mid                            Boys                                                    , a04821c,59.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-malden-street-mid-sneaker--blackblackwhite/a04821c
211,CONVERSE,Unisex,                                                            Converse                                                        CTAS Eva Lift                            Unisex                                                    , 272856c,64.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-eva-lift-hi-top-platform-sneaker--whiteblack/272856c
213,CONVERSE,Boys',                                                            Converse                                                        CTAS Axel Vintage Athletic                            Boys                                                    , a05425c,54.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-axel-sneaker--pinesblackwhite/a05425c
214,CONVERSE,Girls',                                                            Converse                                                        CTAS Eva Lift Sparkle Party                            Girls                                                    , a05528c,69.99,https://www.softmoc.com/ca/i/converse/girls/sneakers-and-athletic/grls-chuck-taylor-all-star-eva-lift-platform-sneaker--blacksilver/a05528c
216,SKECHERS,Baby and Toddlers,                                                            Skechers                                                        Unicorn Charmer Lil Steller                            Baby and Toddlers                                                    , 302694n-pktq,59.99,https://www.softmoc.com/ca/i/skechers/baby-and-toddlers/sneakers-and-athletic/infg-unicorn-charmer-lil-steller-light-up-sneaker--pinkmulti/302694npktq
217,CONVERSE,Boys',                                                            Converse                                                        Chuck Taylor All Star Malden Street                            Boys                                                    , a07381c,59.99,https://www.softmoc.com/ca/i/converse/boys/sneakers-and-athletic/bys-chuck-taylor-all-star-malden-street-sneaker--rainy-dazenavywhite/a07381c
