,Product_Brand,Shoe_Name,Item_ID,Price,Product_Details,Link
266,BLUNDSTONE,                                                            Blundstone                                                        180 - Work & Safety Boot                            Unisex                                                    , 180-x,239.99,"With rustic brown water-resistant leather and a steel toe cap, the 180 Unisex CSA Twin Gore Boot from Blundstone is a slip-on safety boot that doesn’t skimp on the extra features. Premium leather upper. Blundstone ultimate Comfort Arch footbed is made from soft polyurethane, covered with a full length cushion of foam polyurethane, topped by a long-wearing mesh cover. Certified to ASTM F2413-18                          Features & Benefits                         Premium leather upperComfort Arch footbed features an airflow and moisture-wicking systemFootbed features a large pad of XRD Extreme Impact Protection under the ball of the footCertified to ASTM F2413-18Clause 5.6 for electrical shock hazard resistanceBroad fitting 200 Joule impact resistant Type 1 steel toe capOutsole is compliant to slip resistance standards in AS 2210.3:2019                               Design Elements                         LeatherLeather LiningContoured FootbedCSA Safety ApprovedMoisture Wick LiningSlip Resistant SoleSlip On",https://www.softmoc.com/ca/i/blundstone/unisex/safety--work/unisex-180-csa-slip-on-work-boot-oversize--rustic-brown/180x
267,CONVERSE,                                                            Converse                                                        Pro Blaze V2                            Men                                                    , a06629c,84.99,"The original basketball shoe, now has a defined style of its own! The Pro Blaze V2 white sneakers from Converse are always in style. Faux leather upper with a cushioned insole for added comfort. Lace up closure. Vulcanized rubber outsole for increased traction and flexibility. These won't go out of style!                          Features & Benefits                         Faux leather upperPadded tongue and collarLace up closureClassic logo brandingRubber outsole                               Design Elements                         Rubber SoleLacePadded CollarSynthetic",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-pro-blaze-v2-sneaker--white/a06629c
268,SKECHERS,                                                            Skechers                                                        Tresmen Norvick                            Men                                                    , 205187-blk,109.99,"Laid-back style and comfort combines effortlessly in the Hands Free Slip-ins  Tresmen  Norvick black fisherman sandal from Skechers. Designed with a supportive Heel Pillow, this fisherman style sandal features a synthetic upper with a toggle front, back heel piece and a cushioned comfort footbed. Relaxed Fit for a roomy comfort fit at toe and forefoot.                          Features & Benefits                         Synthetic upperHeel Pillow holds your foot securely in placeRelaxed Fit for a roomy comfort fit at toe and forefootToggle front and back heel supportBack heel pieceFlexible traction outsole                               Design Elements                         ElasticTractionSlip-Ins Skechers Technology",https://www.softmoc.com/ca/i/skechers/mens/sandals/mns-tresmen-norvick-slipins-fisherman-sandal--black/205187blk
270,MERRELL,                                                            Merrell                                                        Fly Strike                            Men                                                    , j067377,119.99,"Lightweight and capable, the Fly Strike Hiking Sneaker from Merrell has a  luggy trail runner with abrasion-resistant upper is designed for fast runs on paved and hard-packed trails. Super Rebound Compound provides durable shock absorption in the heel to help reduce torque and allow for a smooth transition into the midfoot.  Merrell sticky rubber outsole with durable traction that grips when and where you need it.                          Features & Benefits                         Mesh upper for breathability and lightweightPadded collarDecorative stitchedBreathable mesh lining50% Recycled EVA Footbed, 100% Recycled Footbed Cover50% Recycled EVA Footbed, 100% Recycled Wool Footbed CoverSuper Rebound Compound provides durable shock absorption in the heel to help reduce torque and allow for a smooth transition into the midfootMerrell sticky rubber outsole with durable traction that grips when and where you need it                               Design Elements                         Rubber SoleEVA MidsoleMeshMesh LiningPadded CollarRecycled Materials",https://www.softmoc.com/ca/i/merrell/mens/sneakers-and-athletic/mns-fly-strike-hiking-sneaker--blacktangerine/j067377
273,TIMBERLAND,                                                            Timberland                                                        Garrison Trail                            Men                                                    , tb0a6aczebg,94.99,"A convenient hook-and-loop closure makes it easy to get in and out of the rugged Garrison Trail Webbing orange/multi strap sandal from Timberland.  Featuring an EVA-blend footbed and midsole for comfortable, high-rebound cushioning. Webbing straps offer a secure fit, while Timberlands TimberGrip  technology provides superior traction. This eco-conscious style also features ReBOTL fabric containing at least 50% recycled plastic to help keep plastic bottles out of landfills.                          Features & Benefits                         ReBOTL fabric upper containing at least 50% recycled plasticConvenient hook-and-loop closureReBOTL fabric lining containing at least 50% recycled plasticMidsole of compression-molded EVA-blend foam for high-rebound cushioningFootbed of EVA-blend foam for high-rebound cushioningRubber lug outsole with TimberGrip traction technology                               Design Elements                         Adjustable StrapsContoured FootbedHook & Loop ClosureSynthetic & FabricRecycled Materials",https://www.softmoc.com/ca/i/timberland/mens/sandals/mns-garrison-trail-webbing-strap-sandal--orangemulti/tb0a6aczebg
274,SOFTMOC,                                                            SoftMoc                                                        Barry                            Men                                                    , barry-blk,74.99,"It's your time in the sun so enjoy it in the Barry Casual black slide sandal from SoftMoc. Featuring a nubuck upper with a soft, cushioning footbed for added cushioning and comfort. Soft spenco lining surrounds the foot in comfort with an easy slip on styling. You will want to add the Barry sandal to your must-have list this season !                          Features & Benefits                         Nubuck upperMemory foam footbedEVA midsoleSlip on stylingTPR outsole                               Design Elements                         LeatherMemory FoamEVA MidsoleSlip On",https://www.softmoc.com/ca/i/softmoc/mens/sandals/mns-barry-casual-slide-sandal--black/barryblk
275,CONVERSE,                                                            Converse                                                        Pro Blaze                            Men                                                    , a09082c,119.99,"The original basketball shoe, now has a defined style of its own! The Pro Blaze Hi Top vintage white sneakers from Converse are always in style. Faux leather upper with a cushioned insole for added comfort. Lace up closure. Vulcanized rubber outsole for increased traction and flexibility. These won't go out of style!                          Features & Benefits                         Padded tongue and collarFaux leather upperRubber outsoleLace up closureHi top constructionClassic logo branding                               Design Elements                         Rubber SoleLacePadded CollarSynthetic",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-pro-blaze-hi-top-sneaker--vintage-white/a09082c
277,LACOSTE,                                                            Lacoste                                                        Lineshot                            Men                                                    , 746sma011021g,174.99,"Rule the courts in the Lineshot white / white lace up sneakers, inspired by vintage Lacoste styles. Updated to include a breathable mesh collar, ergonomic Ortholite sole, innovative technical details and vintage styling on the tongue. The leather uppers and rubber sole will offer the perfect mix of style and comfort.                          Features & Benefits                         Leather upperEyelets for ventilationOrtholite soleTextile liningCrocodile on sideRubber outsole                               Design Elements                         LeatherRubber SoleContoured FootbedLaceTextile Lining",https://www.softmoc.com/ca/i/lacoste/mens/sneakers-and-athletic/mns-lineshot-lace-up-fashion-sneaker--whitewhite/746sma011021g
278,LACOSTE,                                                            Lacoste                                                        Carnaby Pro                            Men                                                    , 745sma01121r5,149.99,"Go pro with the new Carnaby Pro white/dark green sneaker from Lacoste. This model takes Lacoste's timeless, tennis-informed aesthetic and refreshes it with a modern mood. Featuring a combination of genuine leather and synthetic upper with Lacoste Crocodile logo on the outer side. The Carnaby Pro echoes tennis court lines for a sport-inspired look.                          Features & Benefits                         Combination leather & synthetic upperVintage-inspired green crocodile branding on the quarterTextile liningCushioned footbed for added comfortDurable rubber outsole                               Design Elements                         Rubber SoleContoured FootbedLeather & SyntheticPadded CollarTextile Lining",https://www.softmoc.com/ca/i/lacoste/mens/sneakers-and-athletic/mns-carnaby-pro-fashion-sneaker--whitedark-green/745sma01121r5
279,LACOSTE,                                                            Lacoste                                                        L003 Neo Contrasted Textile                            Men                                                    , 747sma0105yb2,194.99,"The L003 Neo Contrasted sneakers are a key style from Lacoste’s collection. Modern, conceptual and packed full of design features, these trainers feature a unique panelled construction, a blend of textile and synthetic leather overlays, as well as reflective hits and breathable mesh.                          Features & Benefits                         Synthetic and mesh upperLacoste branding to sideCrocodile branding to side heelTextile liningLace up stylingCushioned insoleDurable rubber outsole                               Design Elements                         Rubber SoleContoured FootbedLaceMeshSyntheticTextile Lining",https://www.softmoc.com/ca/i/lacoste/mens/sneakers-and-athletic/mns-l003-neo-contrasted-sneaker--yellowwhite/747sma0105yb2
280,DR MARTENS,                                                            Dr Martens                                                        Myles                            Unisex                                                    , 31813001,134.99,The Myles 2-strap slide black sandal from Dr. Marten is designed on a Good Year Welt Construction. A  lightweight Zebrilus sole  is built from a super-lightweight EVA material with a rugged ripple tread. SoftWair footbed for added support and comfort.  Retains Doc's DNA like grooved sides and yellow welt stitching.                          Features & Benefits                         Nubuck upperGoodyear welt ConstructionTwo adjustable bucklesCushioned footbed with heel pad for added support and comfortSole Height - Platform height: 1 1/2 in; Heel height: 1 7/8 inDr. Martens  Zebrilus sole is built from a super-lightweight EVA material with a rugged ripple tread                               Design Elements                         Adjustable StrapsBuckleContoured FootbedEVA OutsoleNubuckPlatforms,https://www.softmoc.com/ca/i/dr-martens/unisex/sandals/unisex-myles-2strap-slide-sandal--black/31813001
282,PUMA,                                                            Puma                                                        Vis2K                            Men                                                    , 392318-14,114.99,"Taking inspiration from Puma's archives through materials and color blocking. The Vis2k lace up sneaker from Puma is a mix of mesh and synthetics, color blocked with heritage Puma colors. The midsole is EVA and has a transparent TP clip to highlight the comfort. Keeping with a SOFTFOAM+ sockliner to ensure all day comfort.                          Features & Benefits                         Mesh-like knit upperSOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heelUpper of the shoes is made with at least 20% recycled materialsNeoprene constructionSleek eyelets and synthetic quarter cageInjected molded EVA midsole and visible technology bubble on the heelSoftFoam+ insoleRubber outsole                               Design Elements                         Rubber SoleContoured FootbedEVA MidsoleFoam FootbedKnittedNeoprene UpperSynthetic",https://www.softmoc.com/ca/i/puma/mens/sneakers-and-athletic/mns-vis2k-lace-up-sneaker--whiteredblack/39231814
283,PUMA,                                                            Puma                                                        Hypnotic LS                            Men                                                    , 395295-04,109.99,"Introducing a trendy and comfortable shoe designed for consumers who want both style and comfort. The Hypnotic LS sneaker is made with softride foam technology that ensures maximum comfort, even when worn for extended periods. It is the perfect choice for those looking to keep up with the latest fashion trends. Whether you´re running errands or heading out with friends, this shoe is the perfect accessory to complete your trendy look.                          Features & Benefits                         Textile upperSoftride foam technologyLace up closure for a secure fitPUMA Cat logo on tongue and heelRubber outsole                               Design Elements                         Rubber SoleLaceTextile Upper",https://www.softmoc.com/ca/i/puma/mens/sneakers-and-athletic/mns-hypnotic-ls-lace-up-sneaker--whitewhitesnow/39529504
285,HEYDUDE,                                                            Heydude                                                        Wally Canvas                            Men                                                    , 40700-066,84.99,"Get ready to roam with the Wally Stretch black/ white canvas casual  from HEYDUDE. This easy-on, easy-off moc has our tried-and-true, canvas upper material which is heavier and more durable than your average, basic moc. Built on an ultralight, foam outsole, an easy-on system with elastic laces and a cushioned ankle collar. Here to make taking on any day with comfort and ease.                          Features & Benefits                         Canvas upper materialRounded toeLow-top, chukka constructionSoft, oxford cloth liningMemory foam cushioned, removable insoleUltra-light, lugged synthetic outsole                               Design Elements                         Memory FoamCanvas UpperLightweight SoleTextile LiningSlip On",https://www.softmoc.com/ca/i/heydude/mens/shoes/mns-wally-canvas-casual-shoe---blackwhite/40700066
287,SKECHERS,                                                            Skechers                                                        Skech-Lite Pro Prime                            Men                                                    , 232466-nvyl,109.99,"Step into easy-wearing comfort with  Hands Free Slip-ins: Skech-Lite Pro navy/ yellow sneaker from Skechers.  Designed with Skecher's exclusive Heel Pillowholds your foot securely in place, this sporty style features an engineered mesh upper with a lace-up front and Skechers Air-Cooled Memory Foam insole. Shock-absorbing Skech-Lite midsole with a flexible traction outsole.                          Features & Benefits                         Engineered mesh upperSkechers Hands Free Slip-ins for an easy fitExclusive Heel Pillow holds your foot securely in placeSkechers Air-Cooled Memory Foam cushioned comfort insoleCrafted with 100% vegan materialsShock-absorbing Skech-Lite midsoleFlexible traction outsoleMachine washable                               Design Elements                         Featuring vegan friendly materialsMemory FoamMeshSyntheticWashableSlip-Ins Skechers Technology",https://www.softmoc.com/ca/i/skechers/mens/sneakers-and-athletic/mns-skechlite-pro-prime-slipins-sneaker--navyyellow/232466nvyl
288,COLE HAAN,                                                            Cole Haan                                                        Grand Evolution Shortwing                            Men                                                    , c26930,279.99,"A wingtip oxford that's anything but stiff or old-fashioned: The Grand Evolution Shotwing tan oxford from Cole Haan is built on  heel that helps heel  friction.  Leather upper with laser-cut broguing. Signature Grand.ØS technology featuring lightweight construction, responsive cushioning, and an ideal fit that embraces the contours of your foot.                          Features & Benefits                         Leather upper with laser-cut broguingTextile liningSignature Grand.ØS technology featuring lightweight construction, responsive cushioning, and an ideal fit that embraces the contours of your footLace up styling for a secure fitDual density EVA midsole with rubber outsoleWide Width                               Design Elements                         LeatherRubber SoleEVA MidsoleLightweight SoleTextile LiningWide",https://www.softmoc.com/ca/i/cole-haan/mens/shoes/mns-grand-evolution-shortwing-wide-casual-oxford-tan/c26930
289,HEYDUDE,                                                            Heydude                                                        Hudson                            Men                                                    , 41239-1lh,109.99,"90s court culture vibes meet light-as-a-feather comfort in the Hudson Casual Leather  atmosphere/ bone sneaker from HEYDUDE – an on-trend, lace-up look from leather upper to lightweight outsole. Featuring perforated leather upper with premium leather overlays. Comfort cushioned ankle collar with a removable foam insole for all day comfort. Lightweight flexible outsole.                          Features & Benefits                         Perforated leather upperPremium leather overlaysPadded heel puffComfort cushioned ankle collarEasy-on lace systemRemovable foam insoleTravel readyLightweight Flexible outsole                               Design Elements                         LeatherCushioned InsoleFoam FootbedLaceLightweight SolePerforated upperRemovable Footbed",https://www.softmoc.com/ca/i/heydude/mens/sneakers-and-athletic/mns-hudson-casual-sneaker--atmospherebone/412391lh
290,HEYDUDE,                                                            Heydude                                                        Cody M Canvas                            Men                                                    , 41291-143,84.99,"With flexible support, cushioned foam insoles the Cody M Canvas Casual white/ white sneaker from HEYDUDE  keeps it relaxed whether you’re kicking back or making moves.  Featuring a textile upper with an easyon lace up system. the Cody M Casual Sneaker is designed with a removable foam insole and a lightweight flexible outsole.                          Features & Benefits                         Textile upperEasy-on lace systemTravel readyRemovable foam insoleLightweight Flexible outsole                               Design Elements                         Foam FootbedLaceLightweight SoleRemovable FootbedTextile Upper",https://www.softmoc.com/ca/i/heydude/mens/shoes/mns-cody-m-canvas-casual-sneaker--whitewhite/41291143
292,COLE HAAN,                                                            Cole Haan                                                        Zero Grand                            Men                                                    , c36565,269.99,"Introducing the Zero Grand black/ ivory sneaker from Cole Haan. This style combines elevated performance technology with a modern silhouette and style that demands attention, whether you're running or running errands. Featuring Cole Haan's most cushioned ride thanks to dual-density Superfeel underfoot cushioning that pads each step, an articulated outsole that mimics the foots natural motion and a full-length rubber outsole, this style keeps you moving in ultimate comfort.                          Features & Benefits                         Lace-up performance running sneaker crafted in mixed material uppersDual-density SUPERFEEL NRG and SUPERFEEL LITE midsole foams for maximum energy return and stabilityWinged tongue and padded collar provide cushion and comfort for an ideal fitArticulated outsole design allows the foot to move freely from heel to toeFull-length rubber outsole with lugged tread pattern provides traction and grip no matter the course                               Design Elements                         Rubber SoleCushioned InsoleLacePadded CollarTraction",https://www.softmoc.com/ca/i/cole-haan/mens/sneakers-and-athletic/mns-zero-grand-performance-sneaker--blackivory/c36565
293,ADIDAS,                                                            adidas                                                        AlphaBounce +                            Men                                                    , hp6139,119.99,"Go for that walk around the neighborhood or head to the gym in a pair of Alphabounce+ sneakers from Adidas. Featuring a mesh upper that is soft and breathable to help keep you comfortable as you go. A Bounce midsole makes the ride soft and springy while Cloudfoam on the heel cushions every step, so you can cruise smoothly through the day.                          Features & Benefits                         Lightweight, mesh upperHybrid Bounce and Cloudfoam midsoleUpper contains a minimum of 50% recycled contentTextile liningAdiwear outsole                               Design Elements                         Foam FootbedMeshTextile LiningSlip OnRecycled Materials",https://www.softmoc.com/ca/i/adidas/mens/sneakers-and-athletic/mns-alphabounce--sneaker--whitesilver/hp6139
294,COLE HAAN,                                                            Cole Haan                                                        Zero Grand Laser Wingtip                            Men                                                    , c27879,289.99,"A remarkably innovative upgrade on a classic style, the Zero Grand Laser Wingtip tan Oxford from Cole Hann seamlessly integrates craftsmanship with athletic innovations to carry you comfortably through any kind of day. Anatomically contoured energy foam footbed cushions as it supports weight distribution and moisture control.  Comfort Fitsock embraces and cradles the foot from the first instant.                          Features & Benefits                         Laser-perforated leather support unrestricted movement and flexibilityDynamic energy foam is designed to comfort and propel each part of the footZonal tongue and Achilles padding generate ready-to-wear comfort from day oneAnatomically contoured energy foam footbed cushions as it supports weight distribution and moisture controlComfort Fitsock embraces and cradles the foot from the first instantGRANDFØAM technologyFull rubber outsole provides mobility, durability, and reliable grip for any terrain                               Design Elements                         LeatherRubber SoleContoured FootbedFoam FootbedLacePadded CollarPerforated upper",https://www.softmoc.com/ca/i/cole-haan/mens/shoes/mns-zero-grand-laser-wingtip-wide-casual-oxford--tan/c27879
298,COLE HAAN,                                                            Cole Haan                                                        Grand Crosscourt                            Men                                                    , c33987,179.99,"A classic court sneaker deserves a place in every wardrobe. Introducing The Grand Crosscourt Sneaker from Cole Haan. Effortlessly versatile perforated leather for every occasion. Luxuriously comfortable footbed with a textile cover softly pads each step with improved breathability. Lightweight, tractioned EVA unit bottom lets you go further with each step. Wide Width.                          Features & Benefits                         Perforated leather upperFootbed with a textile cover softly pads each step with improved breathabilityLace up styling for a secure fitLightweight, tractioned EVA unit bottom lets you go further with each stepCole Haan leather products support responsible manufacturing via the Leather Working GroupWide Width                               Design Elements                         LeatherEVA OutsoleLacePadded CollarPerforated upper",https://www.softmoc.com/ca/i/cole-haan/mens/sneakers-and-athletic/mns-grand-crosscourt-wide-sneaker--white/c33987
300,CLARKS,                                                            Clarks                                                        Bradley Step                            Men                                                    , 26176918m,119.99,"A smooth or full grain leather upper suits the versatile Clarks Bradley Step beeswax slip-on shoe to work duty, while a lightweight EVA outsole makes it durable. Dual goring provides flexibility and easier on and off. Soft textile lining and moisture-wicking Ortholite footbed that reduces the impact of each step.                          Features & Benefits                         Genuine leather upperSoft textile lining and moisture-wickingOrtholite footbed that helps reduce the impact of each stepLightweight EVA outsole                               Design Elements                         LeatherEVA OutsoleMoisture Wick LiningTextile LiningSlip On",https://www.softmoc.com/ca/i/clarks/mens/shoes/mns-bradley-step-casual-slip-on-loafer--beeswax/26176918m
304,VANS,                                                            Vans                                                        Atwood Deluxe                            Men                                                    , vn000cnytup,94.99,"Dress yourself in a cool skate park style in the Atwood Deluxe taupe lace up sneaker from Vans. The Atwood, a heritage low top, features a textile upper and a signature rubber micro-waffle outsole. Its metal eyelets, padded tongue and collar, along with vulcanized construction give this very comfortable style the utmost in durability.                          Features & Benefits                         Double-stitched canvas upperTextile liningPadded tongue and collarLace up closureVans signature rubber waffle outsole                               Design Elements                         Rubber SoleCanvas UpperLacePadded CollarTextile Lining",https://www.softmoc.com/ca/i/vans/mens/sneakers-and-athletic/mns-atwood-deluxe-sneaker--taupe/vn000cnytup
305,CLARKS,                                                            Clarks                                                        ClarksLite Tie                            Men                                                    , 26176881w,129.99,Enhance your formal ensemble with the Clarkslite Tie black combi dress shoe from Clarks.The distinctive stitching details add to the visual appeal of the shoe. Featuring a genuine leather upper with a textile /synthetic lining that surrounds the foot in comfort. Designed with lace up styling for a secure fit. Wide Width                          Features & Benefits                         Genuine leather upperTextile and synthetic lining and insoleCushioned footbedLace up stylingSynthetic outsoleWide Width                               Design Elements                         LeatherLaceSyntheticTextile Lining,https://www.softmoc.com/ca/i/clarks/mens/shoes/mns-clarkslite-tie-dress-wide-slip-on--black-combi/26176881w
306,CLARKS,                                                            Clarks                                                        ClarksLite Bit                            Men                                                    , 26176934w,129.99,"A streamlined profile perfect for everyday wear, the slip-on shoe ClarksLite Bit  black dress slip on  combines Clarks quality craftsmanship with classic design details. Defined by super-soft leather uppers for ultra-versatile styling, our signature underfoot cushioning and a low stack-effect heel deliver the ultimate combination of fashion and function. Contemporary stacked-effect low heel.                          Features & Benefits                         Premium leather upperSlip-on profile for easy on/off5mm Ultimate Comfort footbedRubber sole                               Design Elements                         LeatherRubber SoleCushioned InsoleSlip On",https://www.softmoc.com/ca/i/clarks/mens/shoes/mns-clarkslite-bit-wide-dress-slip-on--black/26176934w
307,SKECHERS,                                                            Skechers                                                        Tres-Air Uno - Revolution-Airy                            Men                                                    , 183070-blk,119.99,"Take your style to the next level with Tres-Air Uno - Revolution-Airy black/ white sneaker from Skechers. This athletic inspired lace-up features a sleek closed mesh upper with hotmelt overlay details, a Skechers Air-Cooled Memory Foam  insole and a visible Skech-Air airbag. The Tres-Air Uno-Revolution-Airy Sneaker is designed with a flexible traction outsole.                          Features & Benefits                         Closed mesh upper with hotmelt overlay detailsSkechers Air-Cooled Memory Foam comfort insoleSkech-Air visible airbag midsoleFlexible traction outsole2-inch heel height                               Design Elements                         Memory FoamLaceMeshPadded CollarTraction",https://www.softmoc.com/ca/i/skechers/mens/sneakers-and-athletic/mns-tresair-unorevolutionairy-sneaker--blackwhite/183070blk
309,VANS,                                                            Vans                                                        Asher Deluxe                            Men                                                    , vn0a5htuciu,74.99,"Dress yourself in a cool skate park style in the Asher Deluxe taupe /white slip on sneaker from Vans. The Asher, a heritage low top, distressed canvas upper and a signature rubber micro-waffle outsole.The Deluxe model, combines the most iconic design elements with modern construction techniques to focus on comfort. An all new sockliner using an EVA base ands memory foam top layer gives it pillow like comfort.                          Features & Benefits                         Distressed canvas upperElastic side accents for easy on/offTextile lining with a cushioning footbedDurable waffle rubber outsole                               Design Elements                         DistressedElasticEVA MidsoleTextile LiningVulcanized Rubber",https://www.softmoc.com/ca/i/vans/mens/sneakers-and-athletic/mns-asher-deluxe-slip-on-sneaker--taupewhite/vn0a5htuciu
313,PUMA,                                                            Puma                                                        Softride Sway                            Men                                                    , 379443-04,109.99,"Puma's Softride technology represents an advancement in footwear comfort. It incorporates our softest foam, designed to deliver extreme cushioning that promotes sustained comfort throughout the day. The Softride midsole, softer and lighter than traditional EVA, extends through the full length of the shoe. This innovative construction enhances the wearer's experience, providing lightweight support during daily activities.                          Features & Benefits                         Synthetic upperSOFTRIDE: Soft foam designed for all-day cushioning and comfortSOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heelWebbed lock down fitMolded fine TPU cage for stabilityJewel piece midsole brandingRubber outsole                               Design Elements                         Rubber SoleFoam FootbedSynthetic",https://www.softmoc.com/ca/i/puma/mens/sneakers-and-athletic/mns-softride-sway-sneaker--whiteblacklime/37944304
314,PUMA,                                                            Puma                                                        Softride Sway Mesh                            Men                                                    , 379594-02,109.99,"Puma's Softride technology represents an advancement in footwear comfort. It incorporates thier softest foam, designed to deliver extreme cushioning that promotes sustained comfort throughout the day. The Softride midsole, softer and lighter than traditional EVA, extends through the full length of the shoe. This innovative construction enhances the wearer's experience, providing lightweight support during daily activities.                          Features & Benefits                         Synthetic upperSOFTRIDE: Soft foam designed for all-day cushioning and comfortSOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heelWebbed lock down fitMolded fine TPU cage for stabilityJewel piece midsole brandingRubber outsole                               Design Elements                         Rubber SoleFoam FootbedSynthetic",https://www.softmoc.com/ca/i/puma/mens/sneakers-and-athletic/mns-softride-sway-mesh-sneaker--blackwhitered/37959402
315,B&B BY SOFTMOC,                                                            B&B By SoftMoc                                                        Beasley 2                            Men                                                    , beasley2-bge,79.99,B&B By SoftMoc brings you unbeatable comfort and style with the Beasley 2 Canvas casual lace-up oxford shoe. Featuring a lightweight canvas upper with a soft lining that surrounds the foot in comfort. Lace up styling for a secure fit and a durable synthetic outsole. You will want to make the Beasley 2 lace up shoe part of your must-have list for this season!                          Features & Benefits                         Canvas upperPadded collar for added comfortLace up stylingLightly padded footbedDurable synthetic outsole                               Design Elements                         Canvas UpperLacePadded Collar,https://www.softmoc.com/ca/i/bb-premium/mens/shoes/mns-beasley-2-canvas-casual-oxford--beige/beasley2bge
318,CLARKS,                                                            Clarks                                                        Flexaway Step                            Men                                                    , 26176954w,129.99,"Comfy, casual and lightweight, Clarks everyday hero Flexway Step makes in between-season dressing oh-so easy. Its collapsible, genuine leahter upper with a slip on construction makes it perfect for packing, while a flex-grooved rubber outsole inspires confident, fluid steps – whether you’re jetting overseas or sticking to your own backyard.                          Features & Benefits                         Genuine leather upperFlex grooves moves in accordance with the foot’s natural motionCushioned footbedEasy slip in stylingDurable, grippy rubber outsole                               Design Elements                         LeatherRubber SoleCushioned InsoleSlip On",https://www.softmoc.com/ca/i/clarks/mens/shoes/mns-flexaway-step-wide-casual-shoe--light-brown/26176954w
321,B&B BY SOFTMOC,                                                            B&B By Softmoc                                                        Bjorn                            Men                                                    , bjorn-blk,79.99,"Step into refined style with the Bjorn lace up casual oxford from B&B by SoftMoc. Crafted with soft manmade leather upper, the lace-up closure and round toe provides a tailored fit, while the synthetic lining and footbed ensure comfort throughout the day. Featuring a sturdy synthetic outsole, these oxfords effortlessly merge fashion and functionality for a polished look.                          Features & Benefits                         Soft manmade leather upperLace-up closureSynthetic lining and footbedRound toeSynthetic outsole                               Design Elements                         Cushioned InsoleLacePolyurethaneSynthetic",https://www.softmoc.com/ca/i/bb-premium/mens/shoes/mns-bjorn-lace-up-casual-oxford--black/bjornblk
322,VANS,                                                            Vans                                                        Filmore                            Men                                                    , vn0a5educiu,89.99,"Lend a personal touch to your outfit with the Filmore taupe/ white lace up skateboard shoe from Vans. Crafted from a canvas upper with multiple overlays, these sneakers feature a lace-up closure, a padded tongue and collar, a soft lining, a padded footbed and a vulcanized rubber outsole with a waffle pattern.                          Features & Benefits                         Combination canvas & suede upperLace up stylingTextile lining with a cushioning footbedVulcanized rubber outsole                               Design Elements                         Rubber SoleCanvas UpperLacePadded CollarTextile Lining",https://www.softmoc.com/ca/i/vans/mens/sneakers-and-athletic/mns-filmore-lace-up-sneaker--taupewhite/vn0a5educiu
323,B&B BY SOFTMOC,                                                            B&B By SoftMoc                                                        Bjorn                            Men                                                    , bjorn-cgnc,79.99,"Step into refined style with the Bjorn lace up casual oxford from B&B by SoftMoc. Crafted with soft manmade leather upper, the lace-up closure and round toe provides a tailored fit, while the synthetic lining and footbed ensure comfort throughout the day. Featuring a sturdy synthetic outsole, these oxfords effortlessly merge fashion and functionality for a polished look.                          Features & Benefits                         Soft manmade leather upperLace-up closureSynthetic lining and footbedRound toeSynthetic outsole                               Design Elements                         Cushioned InsoleLacePolyurethaneSynthetic",https://www.softmoc.com/ca/i/bb-premium/mens/shoes/mns-bjorn-lace-up-casual-oxford--cognac/bjorncgnc
325,DR MARTENS,                                                            Dr Martens                                                        ZebZag                            Unisex                                                    , 31737439,174.99,"The Zebzag casual clog is Dr. Martens latest innovation in comfort: built on a hybrid air-cushioned sole that fuses feather-weight EVA with rugged PVC. Crafted from lightweight, versatile suede, they’re designed to be worn however you feel like – in summer or out of the conventional season. The adjustable strap ensures a secure fit, while the welted construction delivers our signature durability. Yellow welt stitching marks the mules as Dr. Martens.                          Features & Benefits                         E.H. Suede - a classic leather with a silky to touch textureAdjustable strap ensures a secure fitFootbed has a Wider and a more rounded toe shapeMade with a Goodyear-welted lines that are heat-sealed and reinforced with our signature welt stitchYellow welt stitching marks the mules as Dr. MartensHybrid air-cushioned sole that fuses feather-weight EVA with rugged PVCSole Height - Platform height: 1 in; Heel height: 1 1/4 in                               Design Elements                         Suede UpperAdjustable StrapsAir-Cushioned SoleEVA MidsoleLightweight SoleStitched DesignPlatforms",https://www.softmoc.com/ca/i/dr-martens/unisex/clogs/unisex-zebzag-suede-casual-clog--savannah-tan/31737439
329,DR MARTENS,                                                            Dr Martens                                                        Jorge II                            Unisex                                                    , 31563001,184.99,"Part shoe, part sandal: the Jorge II clog from Dr. Martens is all about easy wear and everyday versatility. This pair is built with suede uppers and set on our classic Shore sandal sole. Ready to go all summer long. Two adjustable straps ensure a comfortable fit. Yellow welt stitching will mark you out as a DM’s wearer.                          Features & Benefits                         EH Suede is a classic suede leather with an enhanced, silky textureSignature grooving and secured with contrast yellow welt stitchingMade with a Goodyear-welted lines that are heat-sealed and reinforced with our signature welt stitchFootbed is Wider and a more rounded toe shapeThe Shore sole keeps Dr. Martens sandals grounded and instantly recognizablePlatform height: 1 in: Heel height: 1 1/2 in                               Design Elements                         Suede UpperAdjustable StrapsStitched DesignPlatforms",https://www.softmoc.com/ca/i/dr-martens/unisex/clogs/unisex-jorge-ii-casual-clog--black/31563001
